timestep,dataset,model,norm,seq_len,pred_len,alpha,seed,dish_init,scaled,prior,gt_0,pred_0,gt_1,pred_1,gt_2,pred_2,gt_3,pred_3,gt_4,pred_4,gt_5,pred_5,gt_6,pred_6,gt_7,pred_7,gt_8,pred_8,gt_9,pred_9,gt_10,pred_10,gt_11,pred_11,gt_12,pred_12,gt_13,pred_13,gt_14,pred_14,gt_15,pred_15,gt_16,pred_16,gt_17,pred_17,gt_18,pred_18,gt_19,pred_19,gt_20,pred_20
37,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,991.12,994.98254,3.06,4.3706226,276.92,279.29883,1.4,3.2046835,88.8,88.02933,7.61,8.217739,6.76,7.5831423,0.85,1.0566126,4.25,4.7263265,6.82,7.5006914,1246.78,1242.4626,2.73,0.982701,3.57,0.7506401,207.2,112.10578,0.0,-4.9686554e-05,0.0,-2.3673372e-05,0.0,8.1222235e-05,0.0,7.1411916e-05,0.0,3.5831576e-06,12.02,15.083906,434.7,448.2498
38,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,990.9,994.8741,3.29,4.479615,277.16,279.3309,1.31,3.1815639,86.8,87.45993,7.74,8.213993,6.71,7.584925,1.02,1.0323317,4.23,4.7241797,6.78,7.500727,1245.52,1242.8951,2.97,0.9252692,4.5,0.80073446,203.7,114.06684,0.0,-5.5903045e-05,0.0,-1.8016684e-05,0.0,8.138989e-05,0.0,7.011404e-05,0.0,7.0495885e-06,12.03,15.06316,432.0,448.03333
39,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,990.68,994.7282,3.6,4.483737,277.49,279.4015,1.22,3.1630669,84.4,87.49029,7.91,8.166037,6.68,7.5876255,1.23,0.96920794,4.2,4.7222114,6.74,7.5020275,1243.86,1242.714,3.02,0.835793,3.82,0.8575849,208.3,118.17246,0.0,-5.9818893e-05,0.0,-1.5007898e-05,0.0,8.214877e-05,0.0,7.006388e-05,0.0,1.0098039e-05,12.03,14.970738,430.0,446.64856
40,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,990.68,994.6853,3.7,4.4269505,277.59,279.53653,1.19,3.1522102,83.6,87.885445,7.97,8.125908,6.66,7.5907393,1.31,0.9229711,4.19,4.723448,6.72,7.5013046,1243.42,1242.0084,2.6,0.7506294,3.64,0.89658016,205.1,125.75076,0.0,-6.226425e-05,0.0,-1.47537485e-05,0.0,8.264605e-05,0.0,6.97809e-05,0.0,1.166858e-05,12.04,14.9200735,429.2,444.45178
41,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,990.65,994.7877,3.77,4.3696055,277.66,279.6521,1.23,3.144563,83.4,88.20074,8.01,8.1039,6.68,7.5921197,1.33,0.87431383,4.2,4.7251797,6.74,7.495759,1243.05,1241.1101,2.53,0.69703203,3.94,0.91865957,193.2,133.70076,0.0,-6.248206e-05,0.0,-1.7917371e-05,0.0,8.16334e-05,0.0,6.739319e-05,1.35,9.432593e-06,12.07,14.963543,429.4,442.3517
42,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,990.65,994.958,3.58,4.283747,277.47,279.71036,1.26,3.1357412,84.7,88.49786,7.9,8.031192,6.69,7.5937243,1.21,0.7615707,4.21,4.7264385,6.75,7.4875455,1243.89,1240.177,2.35,0.67296433,3.87,0.92203236,198.3,138.64294,0.0,-6.0446106e-05,0.0,-2.5146826e-05,0.0,7.883686e-05,2.97,6.332203e-05,5.47,3.6504107e-06,12.13,15.000875,431.0,440.75583
43,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,990.55,995.1248,3.38,4.165895,277.28,279.78598,1.24,3.1171408,85.8,88.86001,7.79,7.8934917,6.68,7.5946507,1.11,0.60753,4.21,4.7275095,6.75,7.4783483,1244.67,1238.9658,2.83,0.67397547,3.97,0.8967461,204.5,138.98257,0.0,-5.9244125e-05,0.0,-3.8360515e-05,3.6,7.4654694e-05,10.1,5.8552043e-05,15.47,-3.7131233e-06,12.19,14.988504,431.2,439.64078
44,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,990.5,995.26025,3.67,4.1442146,277.58,279.97995,1.26,3.0917141,84.2,88.740875,7.95,7.862538,6.69,7.590511,1.26,0.56825984,4.21,4.726626,6.76,7.468937,1243.3,1237.2192,2.89,0.70135546,3.89,0.86642915,207.4,133.59808,0.0,-5.9622722e-05,0.0,-5.67847e-05,14.75,7.013877e-05,27.52,5.4724598e-05,42.31,-6.323742e-06,12.23,15.082531,430.2,438.89008
45,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,990.3,995.2903,3.81,4.2897086,277.74,280.29678,1.4,3.0884721,84.2,88.10051,8.03,8.06745,6.76,7.5843525,1.27,0.6823003,4.26,4.7233152,6.83,7.464252,1242.38,1236.1074,2.26,0.7393978,3.82,0.8506109,197.7,126.47344,0.0,-5.67054e-05,0.0,-6.6590605e-05,32.56,6.804053e-05,52.87,5.5136094e-05,58.53,7.5762784e-07,12.27,15.339655,430.7,438.57993
46,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,990.24,995.25055,3.82,4.4128385,277.74,280.78824,1.55,3.0960884,85.1,88.2349,8.03,8.314399,6.83,7.5778604,1.2,0.73486567,4.3,4.720524,6.9,7.4587946,1242.25,1235.4172,2.0,0.76276886,2.83,0.8182852,199.5,126.223694,0.0,-4.673177e-05,0.0,-6.758261e-05,42.11,6.875308e-05,66.65,5.8047895e-05,75.67,1.1174351e-05,12.37,15.536438,434.1,437.6208
47,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,990.24,995.5899,3.87,4.049914,277.8,279.40836,1.59,3.1657717,85.0,89.804794,8.06,8.038032,6.85,7.5977254,1.21,0.61424875,4.32,4.727938,6.92,7.456421,1242.0,1239.6482,3.27,0.83273786,5.12,0.76776004,201.0,121.32492,0.0,-4.7480327e-05,0.0,-6.093006e-05,50.9,7.043503e-05,85.59,7.0960916e-05,98.58,1.6057596e-05,12.55,15.223556,433.5,435.59592
