timestep,dataset,model,norm,seq_len,pred_len,alpha,seed,dish_init,scaled,prior,gt_0,pred_0
103,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.5145,12.494629
104,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.075,12.208815
105,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,11.6355,11.88069
106,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,11.1965,11.714927
107,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,10.757,11.717119
108,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,10.757,11.754789
109,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,10.3175,11.635421
110,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,10.3175,11.453067
111,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.878,11.249285
112,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.878,11.0966215
113,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.878,11.164075
114,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.4385,11.29991
115,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.4385,11.333786
116,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.4385,11.252995
117,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.2185,11.132395
118,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.999,11.162127
119,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.999,11.296501
120,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.7795,11.3846655
121,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.5595,11.348531
122,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.5595,11.289812
123,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.3395,11.2257
124,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.12,11.202311
125,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.12,11.357969
126,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.9005,11.613832
127,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.6805,11.773796
128,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.6805,11.760099
129,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.4605,11.635935
130,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.241,11.511088
131,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.0215,11.379339
132,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.0215,11.200559
133,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.0215,11.033837
134,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,10.975494
135,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,10.9484625
136,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,10.789053
137,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.1425,10.712823
138,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.1425,10.795987
139,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.923,10.939724
140,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.7035,10.974422
141,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.7035,10.7383995
142,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.2635,10.342646
143,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.2635,10.017421
144,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.8245,9.844499
145,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.8245,9.740932
146,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.3845,9.605067
147,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.3845,9.403387
148,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.9455,9.167415
149,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.9455,8.8702
150,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.5055,8.514927
151,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.286,8.237627
152,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.0665,8.18506
153,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.0665,8.390512
154,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,2.627,8.61486
155,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,2.627,8.69593
156,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,2.1875,8.800814
157,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,2.1875,8.936314
158,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,2.1875,9.044795
159,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,2.1875,9.119256
160,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,2.1875,9.126408
161,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,2.1875,9.24347
162,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,2.627,9.560981
163,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.0665,9.931997
164,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.9455,10.380622
165,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.8245,10.97141
166,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.7035,11.534035
167,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,11.907619
168,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.241,12.1594715
169,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.9005,12.393192
170,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.779,12.788913
171,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.658,13.294847
172,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,10.537,13.781663
173,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,11.416,14.201222
174,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.0755,14.388956
175,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.954,14.545341
176,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.6135,14.711408
177,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.833,14.767901
178,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.6135,14.768585
179,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.6135,14.723937
180,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.6135,14.60977
181,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.833,14.365847
182,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.2725,14.211874
183,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.9315,14.237503
184,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.9315,14.282105
185,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.7115,14.267693
186,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.833,13.863525
187,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.174,13.606979
188,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.954,13.279743
189,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.515,12.909237
190,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.075,12.661098
191,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,11.8555,10.692259
